method,n,mean_mm,std_mm,ci_low_mm,ci_high_mm,evaluation_protocol
avg_body_current,137,65.24945205739557,14.523251439241402,62.935295398968044,67.78864972188838,similarity_plus_hip_centering
avg_world_face_ref,137,123.70333950709048,18.09579735500544,120.71014634159513,126.80302018751793,similarity_plus_hip_centering
root_face_stable,137,123.70936139414549,18.096120761710644,120.67795610366132,126.78716945833531,similarity_plus_hip_centering
sim3_face_all,137,69.31710452341122,18.25041395335091,66.35757245005126,72.46515056150785,similarity_plus_hip_centering
sim3_face_stable,137,66.08607522826964,14.291167223657554,63.718632148422074,68.55682781470769,similarity_plus_hip_centering
sim3_face_stable_joint_weight,137,64.07721472230755,14.44910265566606,61.71803138526566,66.53858121039288,similarity_plus_hip_centering
sim3_face_stable_bodypart_weight,137,66.2695931720702,14.592704019502033,63.86294384626416,68.74506864026378,similarity_plus_hip_centering
sim3_face_stable_smooth_transform,137,67.03726841822628,14.26787483267774,64.68598606478514,69.43717859444129,similarity_plus_hip_centering
sim3_face_stable_smooth_kpt,137,68.03095085329392,14.298325742568412,65.73066038166245,70.43455760139315,similarity_plus_hip_centering
