person_id,method,matched_frames,valid_points,mpjpe,median,p95,evaluation_protocol
127,avg_body_current,957,66990,0.0740912356931543,0.0579250288830973,0.1861291958344418,similarity_plus_hip_centering
128,avg_body_current,967,67690,0.1264376488063775,0.0874323270665623,0.3507148916484965,similarity_plus_hip_centering
129,avg_body_current,1107,77490,0.0834571410642793,0.0683128055582,0.1894103910532436,similarity_plus_hip_centering
131,avg_body_current,1112,77840,0.0675394287139176,0.0568481951132786,0.1599032373947855,similarity_plus_hip_centering
132,avg_body_current,1114,77980,0.0743721217603237,0.0643979731745637,0.1733972264708224,similarity_plus_hip_centering
133,avg_body_current,1119,78330,0.0825108884603819,0.0645773529999769,0.2140070887089645,similarity_plus_hip_centering
134,avg_body_current,1123,78610,0.0869529243079578,0.0716020610010151,0.2027448321790703,similarity_plus_hip_centering
138,avg_body_current,1120,78400,0.0658826590651394,0.0563484416279189,0.1450045990676327,similarity_plus_hip_centering
14,avg_body_current,946,66220,0.0539864752991732,0.0450198850837655,0.1252359886608186,similarity_plus_hip_centering
15,avg_body_current,1104,77280,0.0605014505631054,0.0510488285660625,0.1471465938101563,similarity_plus_hip_centering
16,avg_body_current,960,67200,0.0800577241205629,0.0671029275602472,0.1970943109406636,similarity_plus_hip_centering
18,avg_body_current,1109,77630,0.0560495442913603,0.0490829258943651,0.1236151156207909,similarity_plus_hip_centering
19,avg_body_current,955,66850,0.0711387736302579,0.0630737461064811,0.1512345558873013,similarity_plus_hip_centering
2,avg_body_current,1114,77980,0.062667451835409,0.052343492835856,0.153970791495137,similarity_plus_hip_centering
20,avg_body_current,1129,79030,0.0684165615153591,0.0612548013448209,0.1458544026474972,similarity_plus_hip_centering
21,avg_body_current,964,67480,0.0632962868694074,0.0546867996479602,0.1400021568990372,similarity_plus_hip_centering
22,avg_body_current,953,66710,0.0647614832692546,0.0507074782722769,0.1588933061783557,similarity_plus_hip_centering
25,avg_body_current,1128,78960,0.0810975203857158,0.0652684832153492,0.1981367079127914,similarity_plus_hip_centering
26,avg_body_current,961,67270,0.0569208356867955,0.0495740749462437,0.1251170491761332,similarity_plus_hip_centering
28,avg_body_current,1124,78680,0.0706543945919961,0.06032215602458,0.1685319866215386,similarity_plus_hip_centering
29,avg_body_current,1112,77840,0.0519478583832495,0.0456021960393527,0.1120784534482074,similarity_plus_hip_centering
