method,n,mean,std,median,q1,q3,ci_low,ci_high
sim3_face_stable_joint_weight,137,0.06348165250407863,0.016024712357908217,0.06105852915314964,0.05208535752077654,0.07061676216019516,0.060869652298206164,0.06621301480813821
avg_body_current,137,0.06404528534389037,0.01609230794855528,0.06225889668483551,0.05315407896242033,0.07173804829617131,0.06148091633878029,0.0667736287382061
sim3_face_stable,137,0.064586215363852,0.015915986308625674,0.061562444173657145,0.05359910129143033,0.07300920792407137,0.062054877112359456,0.06732134550549672
sim3_face_stable_bodypart_weight,137,0.06486248726412126,0.016150766773340437,0.062099347945991534,0.05400872232209865,0.07360977020809355,0.06219703910807887,0.06763241269294865
sim3_face_stable_smooth_transform,137,0.06547045845321638,0.015888122065293456,0.06280810619893307,0.054520904357066385,0.07390792653996268,0.0629045421989661,0.06816996537444234
sim3_face_stable_smooth_kpt,137,0.06629495275805806,0.01590295154431439,0.0640033855078399,0.055639870487087136,0.07455729663003903,0.06367883885446377,0.06904585255379432
sim3_face_all,137,0.073811652676123,0.019467148220459137,0.07250076639369281,0.06009166930217485,0.08275223757532127,0.07071442886227793,0.07709771168723988
avg_world_face_ref,137,0.12209319346079632,0.01837235470001965,0.1210013650288052,0.10817224664634865,0.13253023536225353,0.11904067725221228,0.12515762223096283
root_face_stable,137,0.12216439295046082,0.018391333778786576,0.12097604536452633,0.10815227444148076,0.13255407561741128,0.11912112325436368,0.12523414701370986
