n_elderly,n_student,elderly_median,student_median,elderly_q25,elderly_q75,student_q25,student_q75,median_difference,median_difference_ci_low,median_difference_ci_high,p_value,hedges_g,cliffs_delta,outcome,p_holm
80,57,0.02332563624,0.02495493144,0.01507693082,0.0327315852,0.01614252776,0.03194189668,-0.001629295205,-0.007143889357,0.00465100542,0.595940406,0.2055532305,-0.01447368421,trunk_axial_rotation_rom,1
80,57,0.1163157194,0.08495720625,0.06401445419,0.2695685387,0.05832008123,0.133125031,0.0313585132,-0.007235613426,0.06603649779,0.06369363064,0.3277612544,0.2574561404,angular_speed_p95,0.4458554145
80,57,0.02,0.02,0.01,0.07,0.01,0.035,0,-0.005,0.01,1,0.2432323051,0.09780701754,peak_rotation_phase,1
80,57,0.00269944443,0.002914635448,0.001911574854,0.004106548509,0.002032511586,0.004371644066,-0.0002151910175,-0.001218679595,0.0007078356182,0.6822317768,-0.08839276958,-0.06140350877,trunk_tilt_p95,1
80,57,0.0231167645,0.03044212052,0.009030150841,0.06363458958,0.01040547175,0.07500715519,-0.00732535602,-0.02596849363,0.01202949311,0.500849915,-0.2039647387,-0.09736842105,wrist_lead_p95,1
80,57,0.04166666667,0.03333333333,0.03333333333,0.05,0.025,0.06666666667,0.00833333334,-0.00833333334,0.01666666667,0.7392260774,-0.02497937733,0.02368421053,cycle_duration,1
80,57,0.1176928817,0.0799980553,0.07321348559,0.2519100205,0.0550023494,0.108364775,0.0376948264,0.013529445,0.07347075277,0.002599740026,0.7134953544,0.3986842105,log_dimensionless_angular_jerk,0.02079792021
80,57,0.001448434553,0.001738474979,0.0009886099824,0.002529099924,0.0009269008689,0.002576742579,-0.000290040426,-0.0007516121702,0.0003497884581,0.3282671733,0.02138644781,-0.02280701754,whole_body_repeatability,1
