outcome,transform,formula,cycle_reference,include_outer_fold,random_structure,fallback_reason,converged,n_people,n_cycles,cohort_effect,cohort_effect_se,cohort_effect_standardized,cohort_ci_low,cohort_ci_high,cohort_p_value,cycle_effect,cycle_effect_se,cycle_ci_low,cycle_ci_high,cycle_p_value,interaction_effect,interaction_effect_se,interaction_ci_low,interaction_ci_high,interaction_p_value,random_intercept_variance,random_slope_variance,intercept_slope_covariance,model_outcome_sd,aic,bic,residual_scale,maximum_absolute_standardized_residual,model_status,cohort_p_holm,interaction_p_holm
trunk_axial_rotation_rom,identity,"_model_outcome ~ C(cohort, Treatment(reference='student')) * _cycle_position_centered",0.5,False,random_intercept_slope,,True,137,928,0.2442502722,0.1419017798,0.2073849122,-0.03387210546,0.5223726499,0.08520312428,0.0001107664645,0.1392017346,-0.27271962,0.2729411529,0.9993651024,-0.08149515503,0.1824843044,-0.4391578194,0.2761675093,0.6551731373,0.5520880025,0.0610757531,-0.1836277731,1.17776298,2678.70168,2717.365933,0.7973927584,14.33605481,mixed_effect,0.3408124971,1
angular_speed_p95,log,"_model_outcome ~ C(cohort, Treatment(reference='student')) * _cycle_position_centered",0.5,False,random_intercept_slope,,True,137,928,0.2971732336,0.09890832091,0.4657082875,0.1033164869,0.4910299804,0.002659896144,0.0008160966312,0.04642596355,-0.09017711988,0.09180931315,0.9859751458,-0.0362703681,0.06081524893,-0.1554660657,0.08292532951,0.5509063532,0.3184995127,0.05995278185,0.006876874171,0.638110254,446.8103778,485.4746316,0.04800321056,6.029400038,mixed_effect,0.01861927301,1
peak_rotation_phase,identity,"_model_outcome ~ C(cohort, Treatment(reference='student')) * _cycle_position_centered",0.5,False,random_intercept_slope,,True,137,928,-0.002493130661,0.02875656108,-0.009275108377,-0.0588549547,0.05386869337,0.930911723,-0.008468156406,0.03548395746,-0.07801543506,0.06107912225,0.8113789585,0.0156007549,0.04651357822,-0.0755641832,0.106765693,0.737321734,0.01983179195,0.003760600437,0.0009603221819,0.2687980086,87.06466181,125.7289157,0.05195539036,3.271335157,mixed_effect,1,1
trunk_tilt_p95,identity,"_model_outcome ~ C(cohort, Treatment(reference='student')) * _cycle_position_centered",0.5,False,random_intercept_slope,,True,137,928,0.004290367719,0.002163373045,0.3092599125,5.02344651e-05,0.008530500972,0.04734683349,0.0007645626878,0.001044941251,-0.001283484529,0.002812609905,0.4643638635,-0.0005090957229,0.0013691529,-0.003192586096,0.00217439465,0.710017468,0.0001514117135,2.366430333e-05,-1.136955242e-05,0.01387301601,-6479.025962,-6440.361708,2.944270416e-05,4.594662007,mixed_effect,0.2840810009,1
wrist_lead_p95,identity,"_model_outcome ~ C(cohort, Treatment(reference='student')) * _cycle_position_centered",0.5,False,random_intercept,random-slope fit is singular or unconverged,True,137,928,0.03222754502,0.0480577705,0.07889021364,-0.06196395435,0.1264190444,0.5024753279,-0.06858657018,0.0489153485,-0.1644588915,0.02728575117,0.160870982,-0.01146529882,0.06413012044,-0.1371580252,0.1142274276,0.8581090309,0.0614323578,0,0,0.4085113164,767.1602747,796.1584651,0.1042296384,3.543465978,mixed_effect,1,1
cycle_duration,log,"_model_outcome ~ C(cohort, Treatment(reference='student')) * _cycle_position_centered",0.5,False,random_intercept_slope,,True,137,928,-0.01293835625,0.00678013185,-0.1645539287,-0.02622717049,0.0003504579819,0.05635567961,0.0162574578,0.01384811402,-0.01088434694,0.04339926253,0.2404016223,-0.01268048981,0.01814279206,-0.04823970882,0.02287872919,0.4845975637,0.0008392489991,0.004815052175,0.0002812933211,0.07862684507,-2143.482907,-2104.818653,0.00466778635,10.27787821,mixed_effect,0.2840810009,1
log_dimensionless_angular_jerk,identity,"_model_outcome ~ C(cohort, Treatment(reference='student')) * _cycle_position_centered",0.5,False,random_intercept_slope,,True,137,928,0.4160742591,0.1032815019,0.5352856055,0.2136462352,0.6185022831,5.612293151e-05,0.05220404214,0.08950132833,-0.1232153379,0.2276234222,0.5597070247,-0.01679950175,0.1172582823,-0.2466215119,0.2130225084,0.8860775699,0.3244822521,0.1864718674,0.009178318708,0.7772939434,1591.927511,1630.591765,0.2061880032,5.12343706,mixed_effect,0.0004489834521,1
whole_body_repeatability,log,"_model_outcome ~ C(cohort, Treatment(reference='student')) * _cycle_position_centered",0.5,False,random_intercept_slope,,True,137,928,-0.01419187451,0.04797405572,-0.03781863201,-0.1082192959,0.0798355469,0.7673645342,-0.004587180743,0.05463545283,-0.1116707006,0.1024963391,0.9330884076,0.03459051762,0.07156330745,-0.1056709876,0.1748520228,0.6288433454,0.06747946266,0.08945641604,0.009856517673,0.3752614453,455.0955701,493.759824,0.06156928023,5.956756368,mixed_effect,1,1
